sequence,case,region,metric,on,off,on_minus_off
20200709-subject-01/20200709_152420,natural,geometry_focus_proxy,depth_mm,22.808366537094116,22.81349366903305,-0.005127131938934326
20200709-subject-01/20200709_152757,natural,geometry_focus_proxy,depth_mm,15.829659969575944,15.824541614901635,0.005118354674308989
20200709-subject-01/20200709_153148,natural,geometry_focus_proxy,depth_mm,14.702886889962588,14.705537094789392,-0.0026502048268035594
20200709-subject-01/20200709_153548,natural,geometry_focus_proxy,depth_mm,2.533664357662201,2.5162374496459963,0.017426908016204834
20200813-subject-02/20200813_145612,natural,geometry_focus_proxy,depth_mm,6.480741343714974,6.479472144083544,0.00126919963143024
20200813-subject-02/20200813_145920,natural,geometry_focus_proxy,depth_mm,17.964122091020858,17.963478088378906,0.0006440026419518574
20200813-subject-02/20200813_150228,natural,geometry_focus_proxy,depth_mm,24.375239372253418,24.354973619634453,0.020265752618964683
20200813-subject-02/20200813_150535,natural,geometry_focus_proxy,depth_mm,4.7135805980018946,4.7155587154886,-0.0019781174867050666
20200813-subject-02/20200813_150823,natural,geometry_focus_proxy,depth_mm,12.42259617894888,12.4231563732028,-0.0005601942539215088
20200813-subject-02/20200813_151117,natural,geometry_focus_proxy,depth_mm,14.494128058938418,14.493514621959013,0.0006134369794050798
20200813-subject-02/20200813_151925,natural,geometry_focus_proxy,depth_mm,6.1466068983078,6.1424295663833615,0.0041773319244384766
20200813-subject-02/20200813_152215,natural,geometry_focus_proxy,depth_mm,15.86349048614502,15.853303718566895,0.010186767578124645
20200813-subject-02/20200813_152513,natural,geometry_focus_proxy,depth_mm,21.44489924112956,21.433827082316082,0.011072158813476562
20200813-subject-02/20200813_152842,natural,geometry_focus_proxy,depth_mm,11.308786471684774,11.285637935002645,0.023148536682128906
20200813-subject-02/20200813_153152,natural,geometry_focus_proxy,depth_mm,13.099376751826359,13.091914176940918,0.007462574885440887
20200813-subject-02/20200813_153453,natural,geometry_focus_proxy,depth_mm,23.0584157705307,23.058744413512095,-0.0003286429813940117
20200813-subject-02/20200813_153802,natural,geometry_focus_proxy,depth_mm,24.437077790498734,24.434216544032097,0.0028612464666366577
20200813-subject-02/20200813_154103,natural,geometry_focus_proxy,depth_mm,6.880238501921944,6.879995698514192,0.00024280340775195697
20200813-subject-02/20200813_154408,natural,geometry_focus_proxy,depth_mm,12.496896535158157,12.503485212723414,-0.0065886775652561624
20200813-subject-02/20200813_154729,natural,geometry_focus_proxy,depth_mm,25.347833792368572,25.355754375457764,-0.007920583089191524
20200813-subject-02/20200813_155021,natural,geometry_focus_proxy,depth_mm,61.20328789949417,61.20075333118439,0.0025345683097839355
20200813-subject-02/20200813_155314,natural,geometry_focus_proxy,depth_mm,9.319110558146523,9.316470963614327,0.002639594532196199
20200813-subject-02/20200813_155633,natural,geometry_focus_proxy,depth_mm,19.18062096550351,19.174748148236954,0.005872817266556751
20200709-subject-01/20200709_142123,natural,geometry_focus_proxy,camera_consistency_mm,61.56282842159271,61.57058227062225,-0.007753849029541016
20200709-subject-01/20200709_142446,natural,geometry_focus_proxy,camera_consistency_mm,77.18280529975891,77.18748140335083,-0.004676103591918945
20200709-subject-01/20200709_142802,natural,geometry_focus_proxy,camera_consistency_mm,47.598019807235055,47.60162403272546,-0.0036042254904060655
20200709-subject-01/20200709_143125,natural,geometry_focus_proxy,camera_consistency_mm,46.58366525173187,46.58259439468384,0.001070857048034668
20200709-subject-01/20200709_143531,natural,geometry_focus_proxy,camera_consistency_mm,61.04406249523163,61.02843701839447,0.015625476837158203
20200709-subject-01/20200709_143907,natural,geometry_focus_proxy,camera_consistency_mm,40.493626185825896,40.495576586042134,-0.0019504002162378242
20200709-subject-01/20200709_144313,natural,geometry_focus_proxy,camera_consistency_mm,39.80039596557617,39.79702347975511,0.0033724858210604225
20200709-subject-01/20200709_144735,natural,geometry_focus_proxy,camera_consistency_mm,30.68824988603592,30.685927510261536,0.002322375774383545
20200709-subject-01/20200709_145132,natural,geometry_focus_proxy,camera_consistency_mm,47.00808181762695,47.00969638824463,-0.0016145706176757812
20200709-subject-01/20200709_145743,natural,geometry_focus_proxy,camera_consistency_mm,43.11079800128937,43.1065731048584,0.004224896430969238
20200709-subject-01/20200709_150144,natural,geometry_focus_proxy,camera_consistency_mm,93.873657813439,93.87288724459134,0.00077056884765625
20200709-subject-01/20200709_150524,natural,geometry_focus_proxy,camera_consistency_mm,61.93264710903168,61.93739449977875,-0.0047473907470703125
20200709-subject-01/20200709_150906,natural,geometry_focus_proxy,camera_consistency_mm,66.96385548909505,66.96698633829753,-0.003130849202477748
20200709-subject-01/20200709_151246,natural,geometry_focus_proxy,camera_consistency_mm,52.52927112579346,52.52874437967936,0.0005267461140974206
20200709-subject-01/20200709_151632,natural,geometry_focus_proxy,camera_consistency_mm,54.80414861043294,54.79959882100423,0.004549789428708095
