population,metric,contrast,delta,lower95,upper95,lower99,upper99
initial_bad,rotation_deg,spatial_with_latent,-0.08429243708681611,-0.18983744206042114,0.0636125395285509,-0.21871810018533736,0.112587242618684
initial_bad,rotation_deg,spatial_without_latent,0.0558367169745253,-0.32273194537171895,0.49398657280361824,-0.405352111154916,0.6112249260874938
initial_bad,rotation_deg,remove_latent_without_spatial,0.054988850423143276,-0.11554382983035438,0.26116308913117603,-0.14213665031101447,0.31558161616089936
initial_bad,rotation_deg,remove_latent_with_spatial,0.1951180044844847,-0.10657638186010968,0.5981166919962052,-0.1390194444373255,0.6755678106502702
initial_bad,rotation_deg,interaction,0.1401291540613414,-0.2660997181467387,0.5845318360201975,-0.3769491704003537,0.6985021432995383
initial_bad,rotation_deg,s0_l1_vs_residual,-0.1976642539183615,-1.4525595337703252,1.1206289195442476,-1.8076027372971817,1.461182717406009
initial_bad,rotation_deg,s0_l1_vs_fp,-1.9815175733803585,-6.286962789502626,2.036225536787756,-7.58916229404321,3.2524881651007225
initial_bad,rotation_deg,s0_l0_vs_residual,-0.14267540349521823,-1.4729622122161663,1.272204916053293,-1.8475144520080613,1.649821790869081
initial_bad,rotation_deg,s0_l0_vs_fp,-1.9265287229572152,-6.2501720521273825,2.14950225712334,-7.5801080304780575,3.3702898737257407
initial_bad,rotation_deg,s1_l1_vs_residual,-0.2819566910051776,-1.528930725899111,1.0393356750213962,-1.8856862565924293,1.381540147411357
initial_bad,rotation_deg,s1_l1_vs_fp,-2.0658100104671746,-6.327161894751321,1.9307649105554612,-7.620141388746615,3.1298889804663554
initial_bad,rotation_deg,s1_l0_vs_residual,-0.08683868652069293,-1.257965471978951,1.2283870118756102,-1.5875272089789845,1.503672847712394
initial_bad,rotation_deg,s1_l0_vs_fp,-1.87069200598269,-6.052241891741649,2.0799633674938174,-7.304092529403662,3.2132548643244374
initial_bad,center_mm,spatial_with_latent,0.07823087109370341,0.02875825657617184,0.1383958515545454,0.01615480974107215,0.15588814975646847
initial_bad,center_mm,spatial_without_latent,0.06710422635000057,-0.0339201471287367,0.16604307487006895,-0.061042692221940996,0.19554401230449184
initial_bad,center_mm,remove_latent_without_spatial,0.046826119850603476,-0.020044921426040394,0.12143082363788311,-0.03243502353228265,0.1408341906420539
initial_bad,center_mm,remove_latent_with_spatial,0.035699475106900636,-0.037226913346948144,0.11240996898753378,-0.051944284299906475,0.1273850533858455
initial_bad,center_mm,interaction,-0.01112664474370284,-0.107013993465568,0.09193443309125618,-0.12878814874617395,0.12224579930767007
initial_bad,center_mm,s0_l1_vs_residual,-0.3307212227800953,-2.8203545154806506,2.2173558011187473,-3.1590472837501578,2.580883601102217
initial_bad,center_mm,s0_l1_vs_fp,-34.8028582172271,-51.74198165293673,-20.422856578405298,-56.56139681668579,-16.109859058867368
initial_bad,center_mm,s0_l0_vs_residual,-0.2838951029294918,-2.7473935645277674,2.2390496425836854,-3.069955610515413,2.582365380445086
initial_bad,center_mm,s0_l0_vs_fp,-34.7560320973765,-51.71637260516613,-20.34753863115925,-56.53249896024157,-16.02483913799012
initial_bad,center_mm,s1_l1_vs_residual,-0.2524903516863919,-2.7542280495541167,2.307552925603448,-3.1180089803938875,2.6509195945842086
initial_bad,center_mm,s1_l1_vs_fp,-34.724627346133396,-51.67944987496885,-20.338295745614133,-56.50332316156665,-16.03342739196157
initial_bad,center_mm,s1_l0_vs_residual,-0.21679087657949125,-2.7475653669513442,2.3727405672101844,-3.103434579977063,2.7378783200219967
initial_bad,center_mm,s1_l0_vs_fp,-34.68892787102649,-51.625253115382435,-20.29684425147005,-56.52137144523783,-15.95423395887348
asymmetric,add_01,spatial_with_latent,-0.13774321982948834,-0.37795014349795475,0.10052795385163228,-0.4511887064328259,0.16295205151869616
asymmetric,add_01,spatial_without_latent,0.05227967905577202,-0.24510516853460834,0.34829713011357694,-0.34279409175741543,0.432752138084268
asymmetric,add_01,remove_latent_without_spatial,-0.16037062093151633,-0.3441759320665646,0.022482638549312338,-0.39554573312103186,0.07365843828171934
asymmetric,add_01,remove_latent_with_spatial,0.029652277953744033,-0.12064916762820914,0.17539162366800476,-0.16283903711165584,0.2122324682932457
asymmetric,add_01,interaction,0.19002289888526036,-0.014491506555437891,0.4021690083383798,-0.06705673698713653,0.45452405507468274
asymmetric,add_01,s0_l1_vs_residual,0.19468475229798798,-0.6637908657751183,1.0726414316196122,-0.8444292031807451,1.3067518979905555
asymmetric,add_01,s0_l1_vs_fp,5.694487049173389,0.8135841623516232,10.480947013918149,-0.6066479283476882,11.893888052940047
asymmetric,add_01,s0_l0_vs_residual,0.034314131366471656,-0.8515703957595324,0.939964334268175,-1.0538480310958678,1.1967063887270208
asymmetric,add_01,s0_l0_vs_fp,5.534116428241873,0.5928829576598962,10.39421667324555,-0.8832422632549938,11.794177603694317
asymmetric,add_01,s1_l1_vs_residual,0.056941532468499645,-0.6563567272756551,0.8039748532194722,-0.8221391567714124,0.9943109366958207
asymmetric,add_01,s1_l1_vs_fp,5.556743829343901,0.6476483463319905,10.37125263381935,-0.7468761625798858,11.841721014932082
asymmetric,add_01,s1_l0_vs_residual,0.08659381042224368,-0.5941300944841533,0.7909711024945454,-0.7457789577560743,0.9807731175909016
asymmetric,add_01,s1_l0_vs_fp,5.586396107297645,0.714400263342051,10.35021445939178,-0.632012741420528,11.811042085887888
asymmetric,adds_005,spatial_with_latent,0.09107246996697427,-0.15099900797340418,0.32645310528901916,-0.22032217007073102,0.3946729851601183
asymmetric,adds_005,spatial_without_latent,0.219763804282465,-0.05570129801997901,0.5018690823231619,-0.13659856361679928,0.5824317328530025
asymmetric,adds_005,remove_latent_without_spatial,-0.05571662988337778,-0.2973817094679422,0.1855370995995859,-0.3534158532856276,0.24843391145474258
