method,stream_id,object_id,physical_sequence,start,end,length,post_complete,censor_reason,reference_failed,stable_offset
s0_l1,20200709-subject-01/20200709_145743/932122060861,10,20200709-subject-01/20200709_145743,40,49,10,True,,False,3
s0_l0,20200709-subject-01/20200709_145743/932122060861,10,20200709-subject-01/20200709_145743,40,49,10,True,,False,3
s1_l1,20200709-subject-01/20200709_145743/932122060861,10,20200709-subject-01/20200709_145743,40,49,10,True,,False,3
s1_l0,20200709-subject-01/20200709_145743/932122060861,10,20200709-subject-01/20200709_145743,40,49,10,True,,False,3
fp,20200709-subject-01/20200709_145743/932122060861,10,20200709-subject-01/20200709_145743,40,49,10,True,,False,
residual,20200709-subject-01/20200709_150524/932122060861,12,20200709-subject-01/20200709_150524,28,49,22,True,,False,3
s0_l1,20200709-subject-01/20200709_150524/932122060861,12,20200709-subject-01/20200709_150524,28,49,22,True,,False,3
s0_l0,20200709-subject-01/20200709_150524/932122060861,12,20200709-subject-01/20200709_150524,28,49,22,True,,False,3
s1_l1,20200709-subject-01/20200709_150524/932122060861,12,20200709-subject-01/20200709_150524,28,49,22,True,,False,3
s1_l0,20200709-subject-01/20200709_150524/932122060861,12,20200709-subject-01/20200709_150524,28,49,22,True,,False,3
fp,20200709-subject-01/20200709_150524/932122060861,12,20200709-subject-01/20200709_150524,28,49,22,True,,False,
residual,20200709-subject-01/20200709_151246/840412060917,14,20200709-subject-01/20200709_151246,19,25,7,True,,False,3
s0_l1,20200709-subject-01/20200709_151246/840412060917,14,20200709-subject-01/20200709_151246,19,25,7,True,,False,3
s0_l0,20200709-subject-01/20200709_151246/840412060917,14,20200709-subject-01/20200709_151246,19,25,7,True,,False,3
s1_l1,20200709-subject-01/20200709_151246/840412060917,14,20200709-subject-01/20200709_151246,19,25,7,True,,False,3
s1_l0,20200709-subject-01/20200709_151246/840412060917,14,20200709-subject-01/20200709_151246,19,25,7,True,,False,3
fp,20200709-subject-01/20200709_151246/840412060917,14,20200709-subject-01/20200709_151246,19,25,7,True,,False,3
residual,20200709-subject-01/20200709_151246/840412060917,14,20200709-subject-01/20200709_151246,39,43,5,True,,False,3
s0_l1,20200709-subject-01/20200709_151246/840412060917,14,20200709-subject-01/20200709_151246,39,43,5,True,,False,3
s0_l0,20200709-subject-01/20200709_151246/840412060917,14,20200709-subject-01/20200709_151246,39,43,5,True,,False,3
s1_l1,20200709-subject-01/20200709_151246/840412060917,14,20200709-subject-01/20200709_151246,39,43,5,True,,False,3
s1_l0,20200709-subject-01/20200709_151246/840412060917,14,20200709-subject-01/20200709_151246,39,43,5,True,,False,3
fp,20200709-subject-01/20200709_151246/840412060917,14,20200709-subject-01/20200709_151246,39,43,5,True,,False,3
residual,20200709-subject-01/20200709_151246/932122062010,14,20200709-subject-01/20200709_151246,46,46,1,True,,False,3
s0_l1,20200709-subject-01/20200709_151246/932122062010,14,20200709-subject-01/20200709_151246,46,46,1,True,,False,3
s0_l0,20200709-subject-01/20200709_151246/932122062010,14,20200709-subject-01/20200709_151246,46,46,1,True,,False,3
s1_l1,20200709-subject-01/20200709_151246/932122062010,14,20200709-subject-01/20200709_151246,46,46,1,True,,False,3
s1_l0,20200709-subject-01/20200709_151246/932122062010,14,20200709-subject-01/20200709_151246,46,46,1,True,,False,3
fp,20200709-subject-01/20200709_151246/932122062010,14,20200709-subject-01/20200709_151246,46,46,1,True,,False,3
residual,20200709-subject-01/20200709_151632/839512060362,15,20200709-subject-01/20200709_151632,1,35,35,True,,False,3
s0_l1,20200709-subject-01/20200709_151632/839512060362,15,20200709-subject-01/20200709_151632,1,35,35,True,,False,3
s0_l0,20200709-subject-01/20200709_151632/839512060362,15,20200709-subject-01/20200709_151632,1,35,35,True,,False,3
s1_l1,20200709-subject-01/20200709_151632/839512060362,15,20200709-subject-01/20200709_151632,1,35,35,True,,False,3
s1_l0,20200709-subject-01/20200709_151632/839512060362,15,20200709-subject-01/20200709_151632,1,35,35,True,,False,3
fp,20200709-subject-01/20200709_151632/839512060362,15,20200709-subject-01/20200709_151632,1,35,35,True,,False,3
residual,20200709-subject-01/20200709_151948/841412060263,16,20200709-subject-01/20200709_151948,21,22,2,True,,False,3
s0_l1,20200709-subject-01/20200709_151948/841412060263,16,20200709-subject-01/20200709_151948,21,22,2,True,,False,3
s0_l0,20200709-subject-01/20200709_151948/841412060263,16,20200709-subject-01/20200709_151948,21,22,2,True,,False,3
s1_l1,20200709-subject-01/20200709_151948/841412060263,16,20200709-subject-01/20200709_151948,21,22,2,True,,False,3
s1_l0,20200709-subject-01/20200709_151948/841412060263,16,20200709-subject-01/20200709_151948,21,22,2,True,,False,3
fp,20200709-subject-01/20200709_151948/841412060263,16,20200709-subject-01/20200709_151948,21,22,2,True,,False,3
residual,20200709-subject-01/20200709_151948/932122060857,16,20200709-subject-01/20200709_151948,28,59,32,True,,True,
s0_l1,20200709-subject-01/20200709_151948/932122060857,16,20200709-subject-01/20200709_151948,28,59,32,True,,True,
s0_l0,20200709-subject-01/20200709_151948/932122060857,16,20200709-subject-01/20200709_151948,28,59,32,True,,True,
s1_l1,20200709-subject-01/20200709_151948/932122060857,16,20200709-subject-01/20200709_151948,28,59,32,True,,True,
s1_l0,20200709-subject-01/20200709_151948/932122060857,16,20200709-subject-01/20200709_151948,28,59,32,True,,True,
fp,20200709-subject-01/20200709_151948/932122060857,16,20200709-subject-01/20200709_151948,28,59,32,True,,True,
residual,20200709-subject-01/20200709_152420/836212060125,17,20200709-subject-01/20200709_152420,1,31,31,True,,True,
s0_l1,20200709-subject-01/20200709_152420/836212060125,17,20200709-subject-01/20200709_152420,1,31,31,True,,True,
s0_l0,20200709-subject-01/20200709_152420/836212060125,17,20200709-subject-01/20200709_152420,1,31,31,True,,True,
s1_l1,20200709-subject-01/20200709_152420/836212060125,17,20200709-subject-01/20200709_152420,1,31,31,True,,True,
s1_l0,20200709-subject-01/20200709_152420/836212060125,17,20200709-subject-01/20200709_152420,1,31,31,True,,True,
fp,20200709-subject-01/20200709_152420/836212060125,17,20200709-subject-01/20200709_152420,1,31,31,True,,True,3
residual,20200709-subject-01/20200709_152420/840412060917,17,20200709-subject-01/20200709_152420,15,54,40,True,,True,
s0_l1,20200709-subject-01/20200709_152420/840412060917,17,20200709-subject-01/20200709_152420,15,54,40,True,,True,
s0_l0,20200709-subject-01/20200709_152420/840412060917,17,20200709-subject-01/20200709_152420,15,54,40,True,,True,
s1_l1,20200709-subject-01/20200709_152420/840412060917,17,20200709-subject-01/20200709_152420,15,54,40,True,,True,
s1_l0,20200709-subject-01/20200709_152420/840412060917,17,20200709-subject-01/20200709_152420,15,54,40,True,,True,
fp,20200709-subject-01/20200709_152420/840412060917,17,20200709-subject-01/20200709_152420,15,54,40,True,,True,8
residual,20200709-subject-01/20200709_152757/840412060917,18,20200709-subject-01/20200709_152757,18,20,3,True,,False,3
s0_l1,20200709-subject-01/20200709_152757/840412060917,18,20200709-subject-01/20200709_152757,18,20,3,True,,False,3
s0_l0,20200709-subject-01/20200709_152757/840412060917,18,20200709-subject-01/20200709_152757,18,20,3,True,,False,3
s1_l1,20200709-subject-01/20200709_152757/840412060917,18,20200709-subject-01/20200709_152757,18,20,3,True,,False,3
