population,metric,physical_sequence,object_id,method,frames,sum
all,adds_005,20200709-subject-01/20200709_143907,6,s0_l0,576,46000.0
all,adds_005,20200709-subject-01/20200709_143907,6,s1_l1,576,46100.0
all,adds_005,20200709-subject-01/20200709_143907,6,s1_l0,576,45800.0
all,adds_005,20200709-subject-01/20200709_143907,6,fp,576,25600.0
all,adds_005,20200709-subject-01/20200709_144313,7,residual,576,40300.0
all,adds_005,20200709-subject-01/20200709_144313,7,s0_l1,576,40300.0
all,adds_005,20200709-subject-01/20200709_144313,7,s0_l0,576,40300.0
all,adds_005,20200709-subject-01/20200709_144313,7,s1_l1,576,40300.0
all,adds_005,20200709-subject-01/20200709_144313,7,s1_l0,576,40300.0
all,adds_005,20200709-subject-01/20200709_144313,7,fp,576,27200.0
all,adds_005,20200709-subject-01/20200709_144735,8,residual,576,46800.0
all,adds_005,20200709-subject-01/20200709_144735,8,s0_l1,576,49700.0
all,adds_005,20200709-subject-01/20200709_144735,8,s0_l0,576,49800.0
all,adds_005,20200709-subject-01/20200709_144735,8,s1_l1,576,49500.0
all,adds_005,20200709-subject-01/20200709_144735,8,s1_l0,576,49200.0
all,adds_005,20200709-subject-01/20200709_144735,8,fp,576,47500.0
all,adds_005,20200709-subject-01/20200709_145132,9,residual,592,58200.0
all,adds_005,20200709-subject-01/20200709_145132,9,s0_l1,592,58300.0
all,adds_005,20200709-subject-01/20200709_145132,9,s0_l0,592,58200.0
all,adds_005,20200709-subject-01/20200709_145132,9,s1_l1,592,58200.0
all,adds_005,20200709-subject-01/20200709_145132,9,s1_l0,592,58300.0
all,adds_005,20200709-subject-01/20200709_145132,9,fp,592,56200.0
all,adds_005,20200709-subject-01/20200709_145743,10,residual,576,54100.0
all,adds_005,20200709-subject-01/20200709_145743,10,s0_l1,576,53300.0
all,adds_005,20200709-subject-01/20200709_145743,10,s0_l0,576,53300.0
all,adds_005,20200709-subject-01/20200709_145743,10,s1_l1,576,53200.0
all,adds_005,20200709-subject-01/20200709_145743,10,s1_l0,576,53400.0
all,adds_005,20200709-subject-01/20200709_145743,10,fp,576,46000.0
all,adds_005,20200709-subject-01/20200709_150144,11,residual,576,51600.0
